year,iiso3c,eiso3c,value,contig,comlang_off,colony,dist,distcap,distw,distwces,ell,ill,egdp,egdppc,epop,igdp,igdppc,ipop
2013,ALB,GIN,394450.0,0,0,0,4965.696,4965.696,4734.164,4730.315,0,0,3610420394.37,302.159443138,11948726.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GNQ,,0,0,0,4325.311,4325.311,4407.044,4404.431,0,0,9295554257.0,11661.9798929,797082.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GRC,376757142.0,1,0,0,500.1241,500.1241,451.4164,417.3847,0,0,1.99825892302e+11,18120.6079703,11027549.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GTM,3039273.0,0,0,0,10563.5,10563.5,10583.16,10582.83,0,0,36210068021.6,2307.72708693,15690793.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GUY,3886.0,0,0,0,8516.926,8516.926,8527.415,8527.123,0,0,1068555956.23,1404.08623046,761033.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,HKG,1110148.0,0,0,0,8747.532,8747.532,8745.475,8745.374,0,0,2.41780080018e+11,33638.9676547,7187500.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,HND,585822.0,0,0,0,10354.04,10354.04,10316.36,10315.88,0,0,11934602023.5,1520.51373592,7849059.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,HRV,40859577.0,0,0,0,585.956,585.956,552.6649,525.9231,0,0,44921448528.3,10555.5956783,4255700.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,HUN,40658650.0,0,0,0,689.0358,689.0358,695.8069,686.7046,1,0,1.13124111583e+11,11434.6683453,9893082.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,IDN,18801696.0,0,0,0,10212.24,10212.24,10248.75,10216.8,0,0,4.4914228718e+11,1787.5009704,251268276.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,IRL,10624883.0,0,0,0,2355.755,2355.755,2401.968,2399.994,0,0,2.17273473449e+11,47250.8877093,4598294.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,IRQ,,0,0,0,2343.134,2343.134,2361.795,2347.311,0,0,89341742737.9,2644.70336956,33781385.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ISL,16558.0,0,0,0,3675.061,3675.061,3679.853,3678.643,0,0,19195496469.6,59288.5449575,323764.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ISR,3932737.0,0,0,0,1680.884,1680.884,1682.971,1681.485,0,0,1.96180408875e+11,24341.5111205,8059500.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ITA,1195929572.0,0,0,0,611.7626,611.7626,722.9528,638.088,0,0,1.7546035319e+12,29129.8111805,60233948.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,JOR,350880.0,0,0,0,1773.421,1773.421,1761.606,1760.179,0,0,18445245027.5,2855.30108785,6460000.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,KAZ,7489648.0,0,0,0,4615.345,4033.054,4113.149,4016.331,1,0,92422093131.4,5425.33614112,17035275.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,KEN,23797.0,0,0,0,5045.083,5045.083,5043.439,5035.819,0,0,28056993796.4,642.141080063,43692881.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,KGZ,353395.0,0,0,0,4444.737,4444.737,4444.966,4443.207,1,0,3588617094.19,627.424486711,5719600.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,KHM,125589.0,0,0,0,8762.518,8762.518,8714.245,8713.028,0,0,10723297086.9,711.161691983,15078564.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,KWT,142061.0,0,0,0,2868.303,2868.303,2865.913,2865.438,0,0,1.01552063801e+11,28258.4452358,3593689.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LAO,3684.0,0,0,0,8119.246,8119.246,8209.375,8201.589,1,0,5093639970.87,774.111182756,6579985.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LBN,53582.0,0,0,0,1609.733,1609.733,1605.585,1604.557,0,0,32346776994.6,7198.66992591,4493438.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LBY,,0,0,0,1126.319,1126.319,1117.773,1097.349,0,0,38448222388.2,6136.02013349,6265987.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LKA,303180.0,0,0,0,7028.389,7028.389,7000.817,6999.738,0,0,41053226583.3,2004.25848671,20483000.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LTU,1850006.0,0,0,0,1540.066,1540.066,1593.107,1589.843,0,0,31509484442.2,10653.4136761,2957689.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LUX,185764.0,0,0,0,1404.884,1404.884,1425.834,1424.297,1,0,43203208556.1,79511.2053816,543360.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,LVA,391417.0,0,0,0,1765.015,1765.015,1774.892,1772.796,0,0,19392913565.3,9635.52653064,2012647.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MAC,43843.0,0,0,0,8700.824,8700.824,.,.,0,0,30306411098.5,53351.0976005,568056.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MAR,4300174.0,0,0,0,2473.619,2473.619,2493.35,2478.302,0,0,84971840153.9,2499.00830469,33452686.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MDA,203502.0,0,0,0,955.9489,955.9489,976.576,973.9127,0,0,4048371113.17,1137.64114904,3558566.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MDG,125094.0,0,0,0,7283.476,7283.476,7295.459,7288.115,0,0,6205579787.84,270.695734179,22924557.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MHL,176.0,0,0,0,13898.79,13898.79,13803.89,13802.01,0,0,160724190.348,3044.82609684,52786.0,11346755234.8,3916.23123721,2897366.0
